 Game  starts at: 2/1/2025 7:53:47 PM  
Event,Result,Datetime
Count Shot (GunController),1, 2/1/2025 7:53:51 PM 
Count Shot (GunController),2, 2/1/2025 7:53:54 PM 
Count Shot (GunController),3, 2/1/2025 7:53:54 PM 
Count Shot (GunController),4, 2/1/2025 7:53:56 PM 
Count Shot (GunController),5, 2/1/2025 7:53:57 PM 
Count Shot (GunController),6, 2/1/2025 7:53:58 PM 
Count Shot (GunController),7, 2/1/2025 7:53:59 PM 
Count Shot (GunController),8, 2/1/2025 7:54:00 PM 
Count Shot (GunController),9, 2/1/2025 7:54:01 PM 
Final Result: , Score, 0
***** Game Over (LogicScript), Game Over ,2/1/2025 7:54:08 PM , ***** 
Count Shot (GunController),1, 2/1/2025 7:54:09 PM 
Count Shot (GunController),2, 2/1/2025 7:54:19 PM 
Score (BulletController), 482 , 2/1/2025 7:54:19 PM 
Count Shot (GunController),3, 2/1/2025 7:54:22 PM 
Count Shot (GunController),4, 2/1/2025 7:54:26 PM 
Count Shot (GunController),5, 2/1/2025 7:54:26 PM 
Count Shot (GunController),6, 2/1/2025 7:54:26 PM 
Count Shot (GunController),7, 2/1/2025 7:54:26 PM 
Count Shot (GunController),8, 2/1/2025 7:54:27 PM 
