 Game  starts at: 12/28/2024 4:55:11 PM  
Event,Result,Datetime
Count Shot (GunController),1, 12/28/2024 4:55:14 PM 
Count Shot (GunController),2, 12/28/2024 4:55:18 PM 
Score (BulletController), 689 , 12/28/2024 4:55:19 PM 
Count Shot (GunController),3, 12/28/2024 4:55:19 PM 
Count Shot (GunController),4, 12/28/2024 4:55:20 PM 
Score (BulletController), 1311 , 12/28/2024 4:55:20 PM 
Count Shot (GunController),1, 12/28/2024 4:55:22 PM 
Count Shot (GunController),2, 12/28/2024 4:55:24 PM 
Score (BulletController), 879 , 12/28/2024 4:55:24 PM 
Count Shot (GunController),3, 12/28/2024 4:55:25 PM 
Score (BulletController), 1707 , 12/28/2024 4:55:25 PM 
Count Shot (GunController),4, 12/28/2024 4:55:26 PM 
Score (BulletController), 2477 , 12/28/2024 4:55:26 PM 
Count Shot (GunController),5, 12/28/2024 4:55:28 PM 
Score (BulletController), 3147 , 12/28/2024 4:55:28 PM 
Count Shot (GunController),1, 12/28/2024 4:55:35 PM 
Count Shot (GunController),2, 12/28/2024 4:55:38 PM 
Count Shot (GunController),3, 12/28/2024 4:55:39 PM 
Score (BulletController), 566 , 12/28/2024 4:55:39 PM 
Count Shot (GunController),4, 12/28/2024 4:55:40 PM 
Score (BulletController), 1098 , 12/28/2024 4:55:40 PM 
Count Shot (GunController),5, 12/28/2024 4:55:41 PM 
Score (BulletController), 1558 , 12/28/2024 4:55:41 PM 
Count Shot (GunController),1, 12/28/2024 4:55:46 PM 
Score (BulletController), 820 , 12/28/2024 4:55:46 PM 
Count Shot (GunController),2, 12/28/2024 4:55:47 PM 
Score (BulletController), 1590 , 12/28/2024 4:55:47 PM 
Count Shot (GunController),3, 12/28/2024 4:55:49 PM 
Score (BulletController), 2275 , 12/28/2024 4:55:49 PM 
Count Shot (GunController),4, 12/28/2024 4:55:50 PM 
Count Shot (GunController),1, 12/28/2024 4:57:49 PM 
Count Shot (GunController),2, 12/28/2024 4:57:52 PM 
Score (BulletController), 724 , 12/28/2024 4:57:52 PM 
Count Shot (GunController),3, 12/28/2024 4:57:53 PM 
Score (BulletController), 1382 , 12/28/2024 4:57:54 PM 
Count Shot (GunController),4, 12/28/2024 4:57:55 PM 
Score (BulletController), 1955 , 12/28/2024 4:57:55 PM 
Count Shot (GunController),1, 12/28/2024 4:57:58 PM 
Score (BulletController), 912 , 12/28/2024 4:57:58 PM 
Count Shot (GunController),2, 12/28/2024 4:58:00 PM 
Score (BulletController), 1729 , 12/28/2024 4:58:00 PM 
Count Shot (GunController),1, 12/28/2024 4:58:03 PM 
Score (BulletController), 955 , 12/28/2024 4:58:03 PM 
Count Shot (GunController),2, 12/28/2024 4:58:05 PM 
Score (BulletController), 1840 , 12/28/2024 4:58:05 PM 
Count Shot (GunController),1, 12/28/2024 4:58:12 PM 
Score (BulletController), 684 , 12/28/2024 4:58:12 PM 
Count Shot (GunController),2, 12/28/2024 4:58:15 PM 
Score (BulletController), 1196 , 12/28/2024 4:58:15 PM 
Count Shot (GunController),3, 12/28/2024 4:58:16 PM 
Count Shot (GunController),4, 12/28/2024 4:58:17 PM 
Score (BulletController), 1599 , 12/28/2024 4:58:17 PM 
Count Shot (GunController),5, 12/28/2024 4:58:18 PM 
Score (BulletController), 1968 , 12/28/2024 4:58:18 PM 
Count Shot (GunController),1, 12/28/2024 5:00:33 PM 
Count Shot (GunController),2, 12/28/2024 5:00:35 PM 
Score (BulletController), 821 , 12/28/2024 5:00:35 PM 
Count Shot (GunController),3, 12/28/2024 5:00:36 PM 
Score (BulletController), 1580 , 12/28/2024 5:00:36 PM 
Count Shot (GunController),4, 12/28/2024 5:00:37 PM 
Score (BulletController), 2272 , 12/28/2024 5:00:37 PM 
Count Shot (GunController),5, 12/28/2024 5:00:38 PM 
Score (BulletController), 2908 , 12/28/2024 5:00:39 PM 
Count Shot (GunController),1, 12/28/2024 5:00:44 PM 
Count Shot (GunController),2, 12/28/2024 5:00:45 PM 
Count Shot (GunController),3, 12/28/2024 5:00:45 PM 
Score (BulletController), 864 , 12/28/2024 5:00:45 PM 
Count Shot (GunController),4, 12/28/2024 5:00:46 PM 
Score (BulletController), 1681 , 12/28/2024 5:00:46 PM 
Count Shot (GunController),5, 12/28/2024 5:00:47 PM 
Score (BulletController), 2444 , 12/28/2024 5:00:47 PM 
Count Shot (GunController),6, 12/28/2024 5:00:49 PM 
Score (BulletController), 3126 , 12/28/2024 5:00:49 PM 
Count Shot (GunController),1, 12/28/2024 5:02:14 PM 
Count Shot (GunController),2, 12/28/2024 5:02:18 PM 
Score (BulletController), 751 , 12/28/2024 5:02:18 PM 
Count Shot (GunController),3, 12/28/2024 5:02:19 PM 
Score (BulletController), 1447 , 12/28/2024 5:02:19 PM 
Count Shot (GunController),4, 12/28/2024 5:02:20 PM 
Score (BulletController), 2111 , 12/28/2024 5:02:20 PM 
Count Shot (GunController),1, 12/28/2024 5:02:59 PM 
Count Shot (GunController),2, 12/28/2024 5:03:02 PM 
Score (BulletController), 799 , 12/28/2024 5:03:02 PM 
Count Shot (GunController),3, 12/28/2024 5:03:03 PM 
Score (BulletController), 1526 , 12/28/2024 5:03:03 PM 
Count Shot (GunController),1, 12/28/2024 5:03:07 PM 
Score (BulletController), 878 , 12/28/2024 5:03:07 PM 
Count Shot (GunController),2, 12/28/2024 5:03:09 PM 
Score (BulletController), 1671 , 12/28/2024 5:03:09 PM 
Count Shot (GunController),1, 12/28/2024 5:09:24 PM 
Score (BulletController), 821 , 12/28/2024 5:09:24 PM 
Count Shot (GunController),2, 12/28/2024 5:09:26 PM 
Count Shot (GunController),3, 12/28/2024 5:09:27 PM 
Score (BulletController), 1524 , 12/28/2024 5:09:27 PM 
Count Shot (GunController),4, 12/28/2024 5:09:28 PM 
Score (BulletController), 2172 , 12/28/2024 5:09:28 PM 
Count Shot (GunController),5, 12/28/2024 5:09:30 PM 
Score (BulletController), 2703 , 12/28/2024 5:09:30 PM 
