 Game  starts at: 11/20/2024 5:46:38 PM  
Event,Result,Datetime
Count Shot (GunController),1, 11/20/2024 8:06:37 PM 
Count Shot (GunController),2, 11/20/2024 8:06:47 PM 
Score (BulletController), 679 , 11/20/2024 8:06:47 PM 
Count Shot (GunController),1, 11/20/2024 8:07:22 PM 
Final Result: , Score, 0
***** Game Over (LogicScript), Game Over ,11/20/2024 8:07:40 PM , ***** 
Count Shot (GunController),1, 11/20/2024 8:18:19 PM 
Count Shot (GunController),2, 11/20/2024 8:18:20 PM 
Count Shot (GunController),3, 11/20/2024 8:18:21 PM 
Score (BulletController), 818 , 11/20/2024 8:18:21 PM 
Count Shot (GunController),4, 11/20/2024 8:18:22 PM 
Score (BulletController), 1557 , 11/20/2024 8:18:23 PM 
Count Shot (GunController),1, 11/20/2024 8:18:25 PM 
Score (BulletController), 942 , 11/20/2024 8:18:25 PM 
Count Shot (GunController),2, 11/20/2024 8:18:26 PM 
Score (BulletController), 1832 , 11/20/2024 8:18:26 PM 
Count Shot (GunController),1, 11/20/2024 8:18:28 PM 
Count Shot (GunController),2, 11/20/2024 8:18:28 PM 
Score (BulletController), 907 , 11/20/2024 8:18:29 PM 
Count Shot (GunController),3, 11/20/2024 8:18:29 PM 
Count Shot (GunController),4, 11/20/2024 8:18:30 PM 
Score (BulletController), 1751 , 11/20/2024 8:18:30 PM 
Count Shot (GunController),5, 11/20/2024 8:18:30 PM 
Count Shot (GunController),6, 11/20/2024 8:18:31 PM 
Score (BulletController), 2543 , 11/20/2024 8:18:31 PM 
Count Shot (GunController),7, 11/20/2024 8:18:33 PM 
Score (BulletController), 3241 , 11/20/2024 8:18:33 PM 
